column,TP,FP,FN,precision,recall,f1
CSV Column,9,0,3,1.0,0.75,0.8571428571428571
Datatype,9,0,3,1.0,0.75,0.8571428571428571
Entity Class,12,0,0,1.0,1.0,1.0
Language Annotations,3,0,3,1.0,0.5,0.6666666666666666
Ontology Property,12,0,0,1.0,1.0,1.0
Subject Generation,12,0,0,1.0,1.0,1.0
