column,TP,FP,FN,precision,recall,f1
CSV Column,9,0,5,1.0,0.6428571428571429,0.782608695652174
Datatype,9,0,5,1.0,0.6428571428571429,0.782608695652174
Entity Class,14,0,0,1.0,1.0,1.0
Language Annotations,7,0,0,1.0,1.0,1.0
Ontology Property,12,0,2,1.0,0.8571428571428571,0.923076923076923
Subject Generation,14,0,0,1.0,1.0,1.0
