column,TP,FP,FN,precision,recall,f1
CSV Column,5,0,9,1.0,0.35714285714285715,0.5263157894736842
Datatype,9,0,5,1.0,0.6428571428571429,0.782608695652174
Entity Class,14,0,0,1.0,1.0,1.0
Language Annotations,6,0,1,1.0,0.8571428571428571,0.923076923076923
Ontology Property,7,0,7,1.0,0.5,0.6666666666666666
Subject Generation,14,0,0,1.0,1.0,1.0
