column,TP,FP,FN,precision,recall,f1
CSV Column,7,0,2,1.0,0.7777777777777778,0.8750000000000001
Entity Class,9,0,0,1.0,1.0,1.0
Ontology Property,8,0,1,1.0,0.8888888888888888,0.9411764705882353
Subject Generation,9,0,0,1.0,1.0,1.0
