column,TP,FP,FN,precision,recall,f1
CSV Column,6,0,6,1.0,0.5,0.6666666666666666
Datatype,8,0,4,1.0,0.6666666666666666,0.8
Entity Class,12,0,0,1.0,1.0,1.0
Ontology Property,12,0,0,1.0,1.0,1.0
Subject Generation,9,0,3,1.0,0.75,0.8571428571428571
