column,TP,FP,FN,precision,recall,f1
CSV Column,12,0,0,1.0,1.0,1.0
Datatype,8,0,4,1.0,0.6666666666666666,0.8
Entity Class,12,0,0,1.0,1.0,1.0
Ontology Property,12,0,0,1.0,1.0,1.0
Subject Generation,12,0,0,1.0,1.0,1.0
