column,TP,FP,FN,precision,recall,f1
CSV Column,7,0,37,1.0,0.1590909090909091,0.2745098039215686
Datatype,3,0,14,1.0,0.17647058823529413,0.3
Entity Class,10,0,61,1.0,0.14084507042253522,0.2469135802469136
Function Name,0,0,3,0.0,0.0,0.0
Function Output,0,0,3,0.0,0.0,0.0
Join Condition,0,0,19,0.0,0.0,0.0
Ontology Property,14,0,62,1.0,0.18421052631578946,0.3111111111111111
Rel. Entity Class,2,0,19,1.0,0.09523809523809523,0.17391304347826084
Subject Generation,0,0,50,0.0,0.0,0.0
