column,mean_similarity,LLM,method
Datatype,0.3064752444408085,gpt4o,bert_lexical
Entity Class,0.289182620746867,gpt4o,bert_lexical
Function Name,0.0723418661289744,gpt4o,bert_lexical
Function Output,0.0937817263934347,gpt4o,bert_lexical
Join Condition,0.1924712656893663,gpt4o,bert_lexical
Ontology Property,0.2797065583742642,gpt4o,bert_lexical
Rel. Entity Class,0.1377919340764896,gpt4o,bert_lexical
Subject Generation,0.1728410344432901,gpt4o,bert_lexical
CSV Column,0.0880795906537946,llama,bert
Datatype,0.0729437229437229,llama,bert
Entity Class,0.21972099681078,llama,bert
Function Name,0.0045454545454545,llama,bert
Function Output,0.0027401676337846,llama,bert
Join Condition,0.0432381490817879,llama,bert
Ontology Property,0.251159121946327,llama,bert
Rel. Entity Class,0.1337828103701119,llama,bert
Subject Generation,0.2222429603328332,llama,bert
CSV Column,0.202651152263085,llama,bert_lexical
Datatype,0.1718805206318696,llama,bert_lexical
Entity Class,0.2694251385827859,llama,bert_lexical
Function Name,0.0404443298776944,llama,bert_lexical
Function Output,0.1585023031880458,llama,bert_lexical
Join Condition,0.1642751765471917,llama,bert_lexical
Ontology Property,0.269241443897287,llama,bert_lexical
Rel. Entity Class,0.211039884508681,llama,bert_lexical
Subject Generation,0.272135866060853,llama,bert_lexical
CSV Column,0.202651152263085,llama,levenshtein
Datatype,0.1718805206318696,llama,levenshtein
Entity Class,0.2694251385827859,llama,levenshtein
Function Name,0.0404443298776944,llama,levenshtein
Function Output,0.1585023031880458,llama,levenshtein
Join Condition,0.1642751765471917,llama,levenshtein
Ontology Property,0.269241443897287,llama,levenshtein
Rel. Entity Class,0.211039884508681,llama,levenshtein
Subject Generation,0.272135866060853,llama,levenshtein
