column,TP,FP,FN,precision,recall,f1
CSV Column,9,0,0,1.0,1.0,1.0
Datatype,5,0,4,1.0,0.5555555555555556,0.7142857142857143
Entity Class,9,0,0,1.0,1.0,1.0
Language Annotations,0,0,6,0.0,0.0,0.0
Ontology Property,9,0,0,1.0,1.0,1.0
Subject Generation,7,0,2,1.0,0.7777777777777778,0.8750000000000001
